,id,length,avg_inter
675,675,18,0.17440955184819856
676,676,8,0.4323372720775372
677,677,11,0.28425937936497975
678,678,7,0.2432469295584249
679,679,10,0.32698326943679223
680,680,16,0.16311128956368745
681,681,19,0.12834075116346016
682,682,18,0.1418630069038603
683,683,9,0.2812481434091875
684,684,13,0.20379792056434526
685,685,11,0.21189529660314593
686,686,4,0.09214756759135195
687,687,19,0.13083763641612858
688,688,10,0.24809077664526366
689,689,13,0.20291961064462447
690,690,14,0.18070747681684388
691,691,16,0.1614252219165526
692,692,20,0.12251444828160146
693,693,13,0.19679133661845138
694,694,14,0.18406735187801238
695,695,13,0.2001520791449768
696,696,11,0.25275151884972774
697,697,14,0.18166353472624383
698,698,15,0.17271458898911043
699,699,14,0.17409003005189497
700,700,14,0.1789884663906521
701,701,18,0.13659103560573518
702,702,17,0.14683657029154015
703,703,17,0.14519170701460257
704,704,13,0.19420778969707528
705,705,9,0.11448187998478492
706,706,14,0.17943772964075153
707,707,17,0.40529397041434484
708,708,19,0.1333604555403076
709,709,17,0.13699004921623423
710,710,16,0.16078139207285916
711,711,18,0.31066306289142365
712,712,10,0.25406916639276433
713,713,18,0.1340197311905767
714,714,12,0.21049148767672832
715,715,19,0.12891396394687543
716,716,13,0.19704845969358994
717,717,17,0.15201606231893258
718,718,13,0.19293989553788105
719,719,14,0.19417094579536723
720,720,18,0.14179107584437314
721,721,20,0.1263167617581236
722,722,21,0.11557900150892103
723,723,15,0.16831198894578023
724,724,19,0.13530574335881906
725,725,16,0.1592637568442024
726,726,21,0.11795851398558546
727,727,20,0.12587768393428794
728,728,16,0.16111623056534688
729,729,13,0.07392869041724905
730,730,9,0.3228308613943745
731,731,20,0.12666231000130818
732,732,18,0.13411417202340892
733,733,19,0.12630479221487875
734,734,21,0.11899430064908613
735,735,19,0.11982979292501846
736,736,13,0.20429864521175964
737,737,17,0.14977603197690506
738,738,10,0.15101167779635055
739,739,14,0.18680172003729725
740,740,17,0.14632094095219414
741,741,19,0.12858984567275275
742,742,15,0.1745453257007737
743,743,16,0.06730620147144986
744,744,12,0.06914566310149857
745,745,13,0.19927545169351796
746,746,13,0.1994440345927676
747,747,13,0.1926390771869593
748,748,15,0.16858496624847122
749,749,20,0.12183584125292207
750,750,19,0.13070592585401014
751,751,14,0.17742329325809722
752,752,13,0.2060731550880581
753,753,15,0.16748895863579127
754,754,12,0.21623558850994667
755,755,8,0.35723229801466583
756,756,16,0.15649841614805116
757,757,6,0.5359241668663214
758,758,18,0.13725593730825372
759,759,17,0.14487994164175608
760,760,15,0.16488045113508015
761,761,17,0.14562588960902415
762,762,17,0.14266424737771669
763,763,15,0.1698317771579679
